,metric_name,score,num_topics
0,V_measure,0.5995204679973496,55
1,completeness,0.6608256828137739,55
2,homogeneity,0.5486242507076109,55
3,V_measure,0.6280609886740924,55
4,completeness,0.689605823656239,55
5,homogeneity,0.576601392037728,55
6,V_measure,0.5835866670066973,57
7,completeness,0.6553518484286555,57
8,homogeneity,0.5259876818175098,57
9,V_measure,0.6152317465420853,59
10,completeness,0.6758501864559388,59
11,homogeneity,0.5645922660190813,59
12,V_measure,0.5654996593588014,48
13,completeness,0.6513536748799535,48
14,homogeneity,0.49964248347206985,48
15,V_measure,0.6301131862856743,67
16,completeness,0.677033005513608,67
17,homogeneity,0.5892751706259991,67
18,V_measure,0.5913541548057184,59
19,completeness,0.6571614648695043,59
20,homogeneity,0.5375268975685041,59
21,V_measure,0.5801214208373485,59
22,completeness,0.6371925334204581,59
23,homogeneity,0.5324332333439309,59
24,V_measure,0.621502054580866,58
25,completeness,0.681302444427017,58
26,homogeneity,0.5713523811005724,58
27,V_measure,0.6121985806832306,54
28,completeness,0.6787038067622485,54
29,homogeneity,0.5575637021198833,54
