,metric_name,score,num_topics
0,V_measure,0.6643727961360257,50
1,completeness,0.7037437598896118,50
2,homogeneity,0.6291736587171052,50
3,V_measure,0.6329905490793799,50
4,completeness,0.6690732443471413,50
5,homogeneity,0.6006005431151993,50
6,V_measure,0.6264566226029752,50
7,completeness,0.6686139972858822,50
8,homogeneity,0.5893001365609042,50
9,V_measure,0.6503458531155976,50
10,completeness,0.6853031678329489,50
11,homogeneity,0.6187817937047737,50
12,V_measure,0.6380406388458857,50
13,completeness,0.6718575584404877,50
14,homogeneity,0.6074648285345668,50
