,metric_name,score,num_topics
0,V_measure,0.5544522235455807,40
1,completeness,0.5856885131572133,40
2,homogeneity,0.5263790610584298,40
3,V_measure,0.552428227878031,40
4,completeness,0.5769957095011454,40
5,homogeneity,0.5298673888228373,40
6,V_measure,0.5390966661150121,40
7,completeness,0.586723480835986,40
8,homogeneity,0.49862146303938115,40
9,V_measure,0.5704152059721637,40
10,completeness,0.5907563040444767,40
11,homogeneity,0.5514282628000491,40
12,V_measure,0.5836437499427388,40
13,completeness,0.6115304122203514,40
14,homogeneity,0.5581895092065627,40
