,metric_name,score,num_topics
0,V_measure,0.37166907342569455,50
1,completeness,0.3751711217574328,50
2,homogeneity,0.36823180043843057,50
3,V_measure,0.3676364334319074,50
4,completeness,0.3698288194992166,50
5,homogeneity,0.3654698875941132,50
6,V_measure,0.37887090602208984,50
7,completeness,0.38101888726458355,50
8,homogeneity,0.37674700735978417,50
9,V_measure,0.37312401598925393,50
10,completeness,0.37694124506446247,50
11,homogeneity,0.3693833248707936,50
12,V_measure,0.3645582323542322,50
13,completeness,0.3669388125985361,50
14,homogeneity,0.36220834187282397,50
15,V_measure,0.3675589630730482,50
16,completeness,0.3707939195164898,50
17,homogeneity,0.3643799645722339,50
18,V_measure,0.3643921310951253,50
19,completeness,0.367968207188555,50
20,homogeneity,0.36088489374206334,50
21,V_measure,0.36424841340485614,50
22,completeness,0.3678886775251861,50
23,homogeneity,0.3606794843617187,50
24,V_measure,0.3659607976781071,50
25,completeness,0.3689012338198785,50
26,homogeneity,0.3630668660859991,50
27,V_measure,0.3646797582636001,50
28,completeness,0.36810911981178673,50
29,homogeneity,0.3613137038624155,50
