,metric_name,score,num_topics
0,V_measure,0.4324944480405815,50
1,completeness,0.44079795225276286,50
2,homogeneity,0.42449799329888926,50
3,V_measure,0.42446694276200303,50
4,completeness,0.4329122739608942,50
5,homogeneity,0.41634481260564576,50
6,V_measure,0.4278663335015192,50
7,completeness,0.43841214107110954,50
8,homogeneity,0.4178159578877792,50
9,V_measure,0.44228565527312685,50
10,completeness,0.45288195027964845,50
11,homogeneity,0.43217387693597303,50
12,V_measure,0.4125231019140445,50
13,completeness,0.42088846750180314,50
14,homogeneity,0.4044837874225017,50
15,V_measure,0.42778609967497294,49
16,completeness,0.4404292850188813,49
17,homogeneity,0.4158485415589225,49
18,V_measure,0.4485973790023834,50
19,completeness,0.45567099436007275,50
20,homogeneity,0.4417400213089769,50
21,V_measure,0.4274145457145021,50
22,completeness,0.43670597346460965,50
23,homogeneity,0.4185102530885022,50
24,V_measure,0.4228821038969157,50
25,completeness,0.43204605582940425,50
26,homogeneity,0.41409882336146525,50
27,V_measure,0.4324254384826822,50
28,completeness,0.4404060907028324,50
29,homogeneity,0.4247288749911319,50
