,metric_name,score,num_topics
0,V_measure,0.4137291951775453,50
1,completeness,0.4408999076227006,50
2,homogeneity,0.38971291107343936,50
3,V_measure,0.41751390319344206,50
4,completeness,0.44685794494986053,50
5,homogeneity,0.3917862797243902,50
6,V_measure,0.4142471103498167,50
7,completeness,0.44032424376946966,50
8,homogeneity,0.3910859927081817,50
9,V_measure,0.4179091482440044,50
10,completeness,0.4436619191555518,50
11,homogeneity,0.39498204607975523,50
12,V_measure,0.42172695462164084,50
13,completeness,0.4486509306719176,50
14,homogeneity,0.3978515014270047,50
15,V_measure,0.42616310603743573,50
16,completeness,0.4535602992397945,50
17,homogeneity,0.4018872123559807,50
18,V_measure,0.42223429127584355,50
19,completeness,0.44922241956484127,50
20,homogeneity,0.39830514213724866,50
21,V_measure,0.4131336963043893,50
22,completeness,0.43975158602244785,50
23,homogeneity,0.389554221791004,50
24,V_measure,0.4100372066377152,50
25,completeness,0.43801314641440703,50
26,homogeneity,0.3854203721687735,50
27,V_measure,0.4176748502339863,50
28,completeness,0.4465807479733756,50
29,homogeneity,0.3922834609740834,50
