,metric_name,score,num_topics
0,V_measure,0.6333951516545097,20
1,completeness,0.6847932448327322,20
2,homogeneity,0.5891738991859177,20
3,V_measure,0.5946635776107914,20
4,completeness,0.6223696390640967,20
5,homogeneity,0.5693191667795394,20
6,V_measure,0.6245198652093948,20
7,completeness,0.6702789311414317,20
8,homogeneity,0.5846093495596908,20
9,V_measure,0.594148767120056,20
10,completeness,0.6245927606953204,20
11,homogeneity,0.5665346506128128,20
12,V_measure,0.59433318823014,20
13,completeness,0.6226838140587642,20
14,homogeneity,0.5684517343396814,20
