,metric_name,score,num_topics
0,V_measure,0.5206079925162579,41
1,completeness,0.53514478901332,41
2,homogeneity,0.5068400718846691,41
3,V_measure,0.44141642510064777,43
4,completeness,0.4716254933261693,43
5,homogeneity,0.41484436346244635,43
6,V_measure,0.5012981451504555,40
7,completeness,0.5119170495455321,40
8,homogeneity,0.49111083260930366,40
9,V_measure,0.4952077959425633,42
10,completeness,0.5113920076714732,42
11,homogeneity,0.4800165353727632,42
12,V_measure,0.5170119637377569,43
13,completeness,0.5237734782468382,43
14,homogeneity,0.5104227963088146,43
