,metric_name,score,num_topics
0,V_measure,0.547870772859009,20
1,completeness,0.617318115856205,20
2,homogeneity,0.49246878810514194,20
3,V_measure,0.5966666749141342,20
4,completeness,0.6486419398822971,20
5,homogeneity,0.5524029766897179,20
6,V_measure,0.5564572833503753,20
7,completeness,0.6075279579820522,20
8,homogeneity,0.5133071043838157,20
9,V_measure,0.5030760918858924,20
10,completeness,0.5575457663575828,20
11,homogeneity,0.4583020729128011,20
12,V_measure,0.5891792831126772,20
13,completeness,0.6447487277188202,20
14,homogeneity,0.5424285820315911,20
15,V_measure,0.5881294431938909,20
16,completeness,0.645378808188827,20
17,homogeneity,0.5402093078467566,20
18,V_measure,0.4930282884190001,20
19,completeness,0.5556528177536754,20
20,homogeneity,0.44309007758801466,20
21,V_measure,0.5499939265836606,20
22,completeness,0.6085634184350438,20
23,homogeneity,0.5017083986106491,20
24,V_measure,0.5908418573566098,20
25,completeness,0.639228284374739,20
26,homogeneity,0.5492651924939127,20
27,V_measure,0.5807740778206825,20
28,completeness,0.6308261453667416,20
29,homogeneity,0.5380807696478098,20
