,metric_name,score,num_topics
0,V_measure,0.5755148780990014,48
1,completeness,0.621793391234724,48
2,homogeneity,0.5356479525904262,48
3,V_measure,0.5939248280424667,49
4,completeness,0.6418824543653818,49
5,homogeneity,0.5526352222852271,49
6,V_measure,0.5834016825514714,50
7,completeness,0.6254300392027796,50
8,homogeneity,0.5466661884179812,50
9,V_measure,0.5837938408864826,50
10,completeness,0.6269682143709047,50
11,homogeneity,0.5461825417672874,50
12,V_measure,0.5996155267943053,49
13,completeness,0.6435720796906409,49
14,homogeneity,0.5612796228453689,49
15,V_measure,0.5984315933502593,50
16,completeness,0.6419155761137552,50
17,homogeneity,0.5604651418792357,50
18,V_measure,0.5635583508093908,48
19,completeness,0.6127363026376417,48
20,homogeneity,0.5216879042348928,48
21,V_measure,0.5840057718616988,50
22,completeness,0.6305828238515061,50
23,homogeneity,0.5438361336879151,50
24,V_measure,0.5747842142098556,50
25,completeness,0.623973706361905,50
26,homogeneity,0.5327834874077776,50
27,V_measure,0.5753136942625722,49
28,completeness,0.6266847682846131,49
29,homogeneity,0.5317266022712753,49
