,metric_name,score,num_topics
0,V_measure,0.6101328271641288,20
1,completeness,0.6397141653405852,20
2,homogeneity,0.5831663446492198,20
3,V_measure,0.5665074153220939,20
4,completeness,0.6124593015765827,20
5,homogeneity,0.5269696845053382,20
6,V_measure,0.6011744068013894,20
7,completeness,0.6580087408332812,20
8,homogeneity,0.5533774171557686,20
9,V_measure,0.5420034914529036,20
10,completeness,0.5882354997786464,20
11,homogeneity,0.5025090971626455,20
12,V_measure,0.5993237501253315,20
13,completeness,0.6290879417582969,20
14,homogeneity,0.5722488025842197,20
