,metric_name,score,num_topics
0,V_measure,0.6418931196643308,49
1,completeness,0.6922966847385584,49
2,homogeneity,0.5983308593367553,49
3,V_measure,0.5828126023877088,49
4,completeness,0.6298348587640229,49
5,homogeneity,0.5423237562253405,49
6,V_measure,0.599410307136783,49
7,completeness,0.6446833447751715,49
8,homogeneity,0.5600786535894788,49
9,V_measure,0.6009113257481824,49
10,completeness,0.6475277031159266,49
11,homogeneity,0.5605561460193428,49
12,V_measure,0.627439399839183,49
13,completeness,0.6659294049129131,49
14,homogeneity,0.593155640276501,49
15,V_measure,0.5849548546814075,49
16,completeness,0.6411321789644616,49
17,homogeneity,0.5378291545305524,49
18,V_measure,0.6026564669356288,49
19,completeness,0.6448953355773792,49
20,homogeneity,0.5656105344428293,49
21,V_measure,0.6281701900705776,49
22,completeness,0.6648439729937191,49
23,homogeneity,0.5953308542232222,49
24,V_measure,0.5985688836658857,42
25,completeness,0.6502261296249249,42
26,homogeneity,0.5545153825821327,42
27,V_measure,0.5972173164565778,48
28,completeness,0.6414139103209234,48
29,homogeneity,0.55871882347396,48
