,metric_name,score,num_topics
0,V_measure,0.393230940475991,20
1,completeness,0.3951609279370916,20
2,homogeneity,0.39131971371404306,20
3,V_measure,0.3259631326341447,20
4,completeness,0.3315881916547581,20
5,homogeneity,0.320525736992251,20
6,V_measure,0.38772713629655714,20
7,completeness,0.3909295647264859,20
8,homogeneity,0.38457674905093675,20
9,V_measure,0.3171794414512836,20
10,completeness,0.32124991559325383,20
11,homogeneity,0.3132108284914785,20
12,V_measure,0.33059639383555317,20
13,completeness,0.3344946893551004,20
14,homogeneity,0.32678791523678724,20
15,V_measure,0.34990894482963014,20
16,completeness,0.3552594389902835,20
17,homogeneity,0.34471722492964685,20
18,V_measure,0.3306547283475617,20
19,completeness,0.3349901315974461,20
20,homogeneity,0.3264301079266062,20
21,V_measure,0.31276499176285527,20
22,completeness,0.3151844535810124,20
23,homogeneity,0.31038239218225694,20
24,V_measure,0.37957778032049805,20
25,completeness,0.3833876621693064,20
26,homogeneity,0.37584287415232676,20
27,V_measure,0.351067798871899,20
28,completeness,0.35721688057263457,20
29,homogeneity,0.34512683355898216,20
