,metric_name,score,num_topics
0,V_measure,0.41654747398716785,39
1,completeness,0.42245806883114295,39
2,homogeneity,0.41079998692568037,39
3,V_measure,0.4137912963269945,39
4,completeness,0.42049838111994253,39
5,homogeneity,0.4072948127084658,39
6,V_measure,0.402856755719285,39
7,completeness,0.40957337538786304,39
8,homogeneity,0.39635687428755173,39
9,V_measure,0.41900946830047237,39
10,completeness,0.42513822385415484,39
11,homogeneity,0.4130549048200544,39
12,V_measure,0.40434314260964616,39
13,completeness,0.41131325575470756,39
14,homogeneity,0.39760532403265586,39
15,V_measure,0.4236332987615958,39
16,completeness,0.42984544434030897,39
17,homogeneity,0.4175981516050327,39
18,V_measure,0.40145806697734,39
19,completeness,0.4104654841602931,39
20,homogeneity,0.392837485578286,39
21,V_measure,0.4003677265281165,39
22,completeness,0.405598695946435,39
23,homogeneity,0.39526996580119605,39
24,V_measure,0.4033752968811745,39
25,completeness,0.40882499601943606,39
26,homogeneity,0.3980689771046974,39
27,V_measure,0.4114218992453363,39
28,completeness,0.4167667070831388,39
29,homogeneity,0.4062124441274349,39
