,metric_name,score,num_topics
0,V_measure,0.5793292182653358,50
1,completeness,0.6440699738806238,50
2,homogeneity,0.5264149355382876,50
3,V_measure,0.6067398698674497,52
4,completeness,0.6607335104845868,52
5,homogeneity,0.5609040646497337,52
6,V_measure,0.6133885346138837,52
7,completeness,0.6599320387014702,52
8,homogeneity,0.5729777205956487,52
9,V_measure,0.6029503989263738,53
10,completeness,0.655112931791198,53
11,homogeneity,0.5584819823453575,53
12,V_measure,0.5964188223334441,54
13,completeness,0.6478548447650285,54
14,homogeneity,0.5525495064833104,54
