,metric_name,score,num_topics
0,V_measure,0.5704382237275427,39
1,completeness,0.6254738635879469,39
2,homogeneity,0.5243045070276401,39
3,V_measure,0.5837123107210501,39
4,completeness,0.6344469677680723,39
5,homogeneity,0.5404910058494417,39
6,V_measure,0.5809906283189676,39
7,completeness,0.6367752157852978,39
8,homogeneity,0.534192759932139,39
9,V_measure,0.5627777060172768,39
10,completeness,0.6068875482476126,39
11,homogeneity,0.5246453936819737,39
12,V_measure,0.5518944117609643,39
13,completeness,0.6096777244907932,39
14,homogeneity,0.5041159114286853,39
15,V_measure,0.5561234924824578,39
16,completeness,0.614026058343655,39
17,homogeneity,0.5082002816078942,39
18,V_measure,0.5462561609467673,39
19,completeness,0.5992365794067978,39
20,homogeneity,0.5018830763936432,39
21,V_measure,0.5761396214869806,39
22,completeness,0.6200312868730306,39
23,homogeneity,0.5380512749463053,39
24,V_measure,0.5774528212378881,39
25,completeness,0.6229075534252876,39
26,homogeneity,0.5381807618993437,39
27,V_measure,0.568284198181841,39
28,completeness,0.6054912015815118,39
29,homogeneity,0.5353851610756923,39
